4,100,[3425],[825],[3423]
5,100,[225],[56],[222]
1,100,[1],[2],[2]
5,100,[1577],[363],[1574]
4,100,[20],[8],[18]
5,100,[654],[153],[651]
6,100,[1355],[320],[1351]
4,100,[681],[168],[679]
5,100,[1542],[373],[1539]
5,100,[1479],[355],[1476]
4,100,[873],[201],[871]
4,100,[1261],[305],[1259]
4,100,[925],[211],[923]
5,100,[1602],[389],[1599]
4,100,[1103],[279],[1101]
5,100,[1192],[302],[1189]
4,100,[624],[156],[622]
5,100,[523],[126],[520]
5,100,[618],[145],[615]
4,100,[231],[54],[229]
3,100,[282],[78],[281]
6,100,[275],[66],[271]
5,100,[499],[120],[496]
3,100,[1311],[294],[1310]
4,100,[5069],[1212],[5067]
4,100,[3595],[823],[3593]
4,100,[656],[161],[654]
4,100,[2460],[597],[2458]
3,100,[2415],[571],[2414]
3,100,[189],[52],[188]
4,100,[202],[48],[200]
4,100,[905],[217],[903]
5,100,[1160],[274],[1157]
4,100,[64],[17],[62]
4,100,[1516],[359],[1514]
3,100,[109],[28],[108]
5,100,[1219],[284],[1216]
4,100,[774],[187],[772]
5,100,[12],[5],[9]
5,100,[1787],[433],[1784]
